gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	protein_id	gene_symbol	product	neg_log10_padj	deg_class	label
gene-ACSAL1_RS10545	772.680491965327	-5.636034858114793	0.20844022222116285	-27.039094461023694	5.131751834233675e-161	2.008184332239877e-159	WP_007409471.1	NA	menaquinol-cytochrome c reductase cytochrome b/c subunit	158.69719642559056	Down	NA
gene-ACSAL1_RS09480	1159.7294269691097	-5.3843961651292	0.1995702250834067	-26.979957370288535	2.5403714486737245e-160	9.822769601538402e-159	WP_209388308.1	NA	non-ribosomal peptide synthetase	158.00776604244962	Down	NA
gene-ACSAL1_RS01145	9821.730837190917	-3.966315988492478	0.1473151631442358	-26.924017214772867	1.1496912765540056e-159	4.393173254408717e-158	WP_003156758.1	glmS	glutamine--fructose-6-phosphate transaminase (isomerizing)	157.3572216690429	Down	NA
gene-ACSAL1_RS03985	3673.6718273116994	-4.212611520205599	0.1565679120182305	-26.90596984978052	1.869940957182821e-159	7.06228863829047e-158	WP_209387999.1	NA	multifunctional 2'%2C3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase/5'-nucleotidase	157.15105453663767	Down	NA
gene-ACSAL1_RS12715	1565.666774309174	-9.210568388454638	0.3450376924183218	-26.694383224913864	5.469399059520192e-157	2.0419089822208715e-155	WP_209387470.1	nadA	quinolinate synthase NadA	154.68996362042748	Down	NA
gene-ACSAL1_RS07800	3693.947106566347	-4.771852676324009	0.1798556850750786	-26.531564316869144	4.192070577368802e-155	1.5472551403743036e-153	WP_209388209.1	NA	S8 family peptidase	152.81043806579626	Down	NA
gene-ACSAL1_RS09345	827.4880346498113	-7.154397350758142	0.2707865858913266	-26.42079675848264	7.904904469392687e-154	2.8848460355716234e-152	WP_209388338.1	NA	glycoside hydrolase family 43 protein	151.53987736021568	Down	NA
gene-ACSAL1_RS10980	603.44365876751294	-5.321007350179249	0.20381808588971476	-26.106649598595617	3.064069773736317e-150	1.1057887361217284e-148	WP_003153348.1	sigF	RNA polymerase sporulation sigma factor SigF	147.95632783822174	Down	NA
gene-ACSAL1_RS15850	2722.2824751476674	4.497788556616006	0.17256059440946095	26.064980663797517	9.100277177931807e-150	3.248098931200276e-148	WP_012118473.1	opuCD	glycine betaine/carnitine/choline/choline sulfate ABC transporter permease OpuCD	147.48837075140744	Up	NA
gene-ACSAL1_RS16900	1986.4473428010176	4.804166185395296	0.185770237571188	25.860795831486826	1.8397302202592894e-147	6.495047560219751e-146	WP_209387662.1	NA	LacI family DNA-binding transcriptional regulator	145.1874176644423	Up	NA
gene-ACSAL1_RS09365	685.2484380976415	-6.94207522366241	0.2691552061555534	-25.79208971217285	1.0877603875201423e-146	3.798973912543464e-145	WP_094295892.1	bamD	bacillomycin D biosynthesis malonyl-CoA transacylase BamD	144.42033368872413	Down	NA
gene-ACSAL1_RS13475	9760.45617307962	-4.791725317142916	0.18593169154024167	-25.77142862224663	1.8544703458919456e-146	6.407786897294723e-145	WP_007613085.1	argH	argininosuccinate lyase	144.19329193994315	Down	NA
gene-ACSAL1_RS13065	1226.0533015869362	-5.376970384446406	0.2088922542336831	-25.740400974520146	4.128630089050036e-146	1.41155689781416e-144	WP_015417952.1	NA	enoyl-CoA hydratase	143.85030161138266	Down	NA
